event-name,event-link,event-logo,event-start-date,event-end-date,event-mode,event-location
BostonHacks,https://bostonhacks.io,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/394/thumb/mlh_profile.png?1602169922,2020-11-14,2020-11-15,DIGITAL,"Everywhere, Worldwide"
Def Hacks Global 2.0,https://defhacks.co/hack,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/064/842/thumb/logo.png?1603139861,2020-11-14,2020-11-15,DIGITAL,"Everywhere, Worldwide"
Oxford Hack 2020,https://oxfordhack.co.uk/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/395/thumb/OxfordHack2020logo.png?1602169990,2020-11-14,2020-11-15,DIGITAL,"Everywhere, Worldwide"
Give Back Hacks,https://organize.mlh.io/participants/events/5726-give-back-hacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/049/040/thumb/give-back-hacks_mlh-event-title_%281%29.png?1602695457,2020-11-20,2020-11-22,DIGITAL,"Everywhere, Worldwide"
Hack Western,https://hackwestern.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/396/thumb/Hack_Western_Logo.png?1602170080,2020-11-20,2020-11-22,DIGITAL,"Everywhere, Worldwide"
UniHack,https://unihack.eu,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/397/thumb/Frame_2.png?1602170169,2020-11-20,2020-11-22,DIGITAL,"Everywhere, Worldwide"
WWPHacks,https://wwphacks.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/099/174/thumb/Logo_%282%29.png?1604337108,2020-11-21,2020-11-22,DIGITAL,"Everywhere , Worldwide"
Who Wants To Be A Hackionaire?,https://organize.mlh.io/participants/events/6033-who-wants-to-be-a-hackionaire,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/102/534/thumb/Who-wants-to-be-hackionaire_mlh-event-title.jpg?1604486443,2020-11-27,2020-11-29,DIGITAL,"Everywhere, Worldwide"
SharkHacks,https://organize.mlh.io/participants/events/6046-sharkhacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/106/856/thumb/shark-hacks_mlh-event-title.png?1604658729,2020-12-04,2020-12-06,DIGITAL,"Everywhere, Worldwide"
TechTogether New York,https://newyork.techtogether.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/113/178/thumb/logo_%283%29.png?1605209149,2020-12-04,2020-12-06,DIGITAL,"Everywhere, Worldwide"
Code for Good,https://hackduke.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/127/949/thumb/Logo__1_.png?1606237279,2020-12-05,2020-12-06,DIGITAL,"Everywhere, Worldwide"
Who Done It Hacks?,https://organize.mlh.io/participants/events/6047-who-done-it-hacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/106/857/thumb/Who-done-it-Hacks_mlh-event-title.png?1604658810,2020-12-11,2020-12-13,DIGITAL,"Everywhere, Worldwide"
Hack Off v3.0,https://www.hackoff.tech/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/462/thumb/Onboarding_logo.png?1596223699,2020-12-12,2020-12-13,DIGITAL,"Everywhere, Worldwide"
HackUMass,https://hackumass.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/138/466/thumb/_Updated__HackUMass_VIII_Gray_Logo_-_Transparent.png?1607100038,2020-12-18,2020-12-20,DIGITAL,"Everywhere, Worldwide"
Winter Hacklympics,https://organize.mlh.io/participants/events/6048-winter-hacklympics,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/106/858/thumb/Winter-Hacklympics_mlh-event-title.png?1604658849,2020-12-18,2020-12-20,DIGITAL,"Everywhere, Worldwide"
Execute,https://executehack.in/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/126/955/thumb/Execute-02.png?1606164746,2020-12-19,2020-12-20,DIGITAL,"Everywhere, Worldwide"
Holiday Hacks,https://organize.mlh.io/participants/events/6051-holiday-hacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/107/756/thumb/Holiday-Hacks_mlh-event-title.png?1604730965,2020-12-25,2020-12-27,DIGITAL,"Everywhere, Worldwide"
New Year New Hack,https://organize.mlh.io/participants/events/6052-new-year-new-hack,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/107/757/thumb/New-Year-New-Hack_mlh-event-title.png?1604731165,2021-01-01,2021-01-03,DIGITAL,"Everywhere, Worldwide"
SheHacks,https://shehacks.ca/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/149/473/thumb/Logo_%281%29.jpg?1607979499,2021-01-08,2021-01-10,DIGITAL,"Everywhere, Worldwide"
Snakes and Hackers,https://organize.mlh.io/participants/events/6267-snakes-and-hackers,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/163/357/thumb/Snakes-and-Hackers_mlh-event-title.png?1609237783,2021-01-08,2021-01-10,DIGITAL,"Everywhere, Worldwide"
nwHacks,https://www.nwhacks.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/138/468/thumb/Frame_2_%281%29.png?1607100977,2021-01-09,2021-01-10,DIGITAL,"Everywhere, Worldwide"
Local Hack Day: Build,https://localhackday.mlh.io/build,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/154/000/thumb/2020-LHD-build-for-web-01.png?1608397003,2021-01-10,2021-01-18,DIGITAL,"Everywhere, Worldwide"
CruzHacks,https://www.cruzhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/138/513/thumb/cruzhacks-logo-square.png?1607103310,2021-01-15,2021-01-17,DIGITAL,"Everywhere, Worldwide"
Elle Hacks,https://ellehacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/138/480/thumb/logo_%284%29.png?1607101298,2021-01-15,2021-01-17,DIGITAL,"Everywhere, Worldwide"
Hack the North ,https://hackthenorth.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/157/134/thumb/icon-gradient_100h.png?1610550840,2021-01-15,2021-01-17,DIGITAL,"Everywhere, Worldwide"
Hack the Northeast Beyond,https://hackthenortheast.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/164/525/thumb/beyond_logo.png?1609339452,2021-01-15,2021-01-17,DIGITAL,"Everywhere, Worldwide"
SB Hacks,https://sbhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/149/513/thumb/20-10-27_fb_profile.png?1607980090,2021-01-15,2021-01-17,DIGITAL,"Everywhere, Worldwide"
HackDavis,https://hackdavis.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/163/506/thumb/HackDavis_Logo_Color.png?1609251819,2021-01-16,2021-01-18,DIGITAL,"Everywhere, Worldwide"
HackED 2021,https://hacked.compeclub.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/180/695/thumb/LogoSquare.png?1610653873,2021-01-16,2021-01-17,DIGITAL,"Everywhere, Worldwide"
Rose Hack,https://rosehack.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/157/131/thumb/logo.png?1608679369,2021-01-16,2021-01-17,DIGITAL,"Everywhere, Worldwide"
BoilerMake,https://boilermake.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/157/135/thumb/BM-New-Logo.png?1608680406,2021-01-22,2021-01-24,DIGITAL,"Everywhere, Worldwide"
Hack Your Portfolio,https://organize.mlh.io/participants/events/6291-hack-your-portfolio,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/168/187/thumb/Hack-Your-Portfolio_mlh-event-title.png?1609677982,2021-01-22,2021-01-24,DIGITAL,"Everywhere, Worldwide"
QHacks,https://qhacks.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/157/138/thumb/Logo_Tricolor_w_Name.jpeg?1608680761,2021-01-22,2021-01-24,DIGITAL,"Everywhere, Worldwide"
TechTogether Seattle,https://seattle.techtogether.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/134/504/thumb/TTS_Logo.png?1606769696,2021-01-22,2021-01-24,DIGITAL,"Everywhere, Worldwide"
CUNY Hackathon,https://cunyhackathon21.web.app/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/150/116/thumb/logo-background.png?1610039146,2021-01-23,2021-01-24,DIGITAL,"Everywhere, Worldwide"
[email protected],https://2021.hackatbrown.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/157/137/thumb/MLH_Hack_BrownLogo.jpg?1609790073,2021-01-23,2021-01-24,DIGITAL,"Everywhere, Worldwide"
Hex Cambridge 2021,https://hackcambridge.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/138/646/thumb/icon.png?1607114618,2021-01-23,2021-01-24,DIGITAL,"Everywhere, Worldwide"
QWER Hacks,https://www.qwerhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/141/950/thumb/QWERHacks-Logo.png?1607360304,2021-01-23,2021-01-24,DIGITAL,"Everywhere, Worldwide"
