event-name,event-link,event-logo,event-start-date,event-end-date,event-mode,event-location
BrickHack 7,https://brickhack.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/324/thumb/BH7_Logo_-_10x10-01_%281%29.png?1601665210,2021-02-20,2021-02-21,DIGITAL,"Everywhere, Worldwide"
RevolutionUC,https://revolutionuc.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/716/thumb/120302826_3342418532474556_1034200320942281270_o.png?1610571182,2021-02-20,2021-02-21,DIGITAL,"Everywhere, Worldwide"
StormHacks,https://stormhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/173/281/thumb/Purple.png?1610069216,2021-02-20,2021-02-21,DIGITAL,"Everywhere, Worldwide"
[email protected] 2021,https://www.cewit.org/programs/events/hack.php,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/698/thumb/cewit-logo-circle_2__21.png?1610570086,2021-02-26,2021-02-28,DIGITAL,"Everywhere, Worldwide"
CuseHacks,https://innovateorange.github.io/cusehacks/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/712/thumb/JPG_EventLogo.jpg?1610570984,2021-02-27,2021-02-28,DIGITAL,"Everywhere, Worldwide"
HackSurrey Virtual,https://hacksurrey.github.io/virtual/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/702/thumb/logo_%285%29.png?1610570362,2021-02-27,2021-02-28,DIGITAL,"Everywhere, Worldwide"
HackTCNJ,https://www.hacktcnj.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/701/thumb/1000x1000HackTCNJ.png?1610570301,2021-02-27,2021-02-28,DIGITAL,"Everywhere, Worldwide"
MariHacks,https://marihacks.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/700/thumb/Square_Logo.png?1610570255,2021-02-27,2021-02-28,DIGITAL,"Everywhere, Worldwide"
VTHacks VIII,https://vthacks.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/719/thumb/VTHACKS__1_.png?1610571324,2021-02-27,2021-02-28,DIGITAL,"Everywhere , Worldwide"
WinHacks,https://winhacks.ca/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/184/555/thumb/Untitled_design_14_.png?1610985124,2021-03-26,2021-03-28,DIGITAL,"Everywhere, Worldwide"
Hackcation,https://hackp.ac/Hackcation,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/275/thumb/Hackcation_mlh-event-title.png?1592307615,2020-07-03,2020-07-05,DIGITAL,"Everywhere, Worldwide"
"New hack, who this?",https://hackp.ac/NewHackWhoThis,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/278/thumb/newHackWhoThis_mlh-event-title.png?1593447137,2020-07-10,2020-07-12,DIGITAL,"Everywhere, Worldwide"
VandyHacks Summer Edition ,https://summer.vandyhacks.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/318/thumb/VH_Logo_Without_Text.png?1594066350,2020-07-10,2020-07-12,DIGITAL,"Everywhere, Worldwide"
HackItShipIt,https://hackp.ac/HackItShipIt,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/281/thumb/hackItShipIt_mlh-event-title.png?1592308206,2020-07-17,2020-07-19,DIGITAL,"Everywhere, Worldwide"
SigmaHacks 2.0,https://sigmahacks.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/321/thumb/Screen_Shot_2020-07-16_at_1.19.22_PM.png?1594923626,2020-07-24,2020-07-26,DIGITAL,"Everywhere, Worldwide"
Hacky Birthday MLH!,https://hackp.ac/HackyBirthdayMLH,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/284/thumb/HackyBirthdayMLH_mlh-event-title.png?1592308573,2020-07-25,2020-07-26,DIGITAL,"Everywhere, Worldwide"
HobbyHacks,https://hobbyhacks.techtogether.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/322/thumb/TechTogether_Profile.png?1594924023,2020-07-25,2020-07-26,DIGITAL,"Everywhere, Worldwide"
To the Moon and Hack,https://hackp.ac/ToTheMoonAndHack,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/964/thumb/to-the-moon-and-hack_mlh-event-title.png?1593618956,2020-07-31,2020-08-02,DIGITAL,"Everywhere, Worldwide"
HAC HackAgainstCovid,https://hac.codezoned.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/325/thumb/hac_logo_33x124-01_square.png?1595511877,2020-08-07,2020-08-09,DIGITAL,"Everywhere, Worldwide"
Roll for Hacking,https://hackp.ac/RollForHacking,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/317/thumb/roll-for-hacking_mlh-event-title.png?1594058820,2020-08-07,2020-08-09,DIGITAL,"Everywhere, Worldwide"
Garuda Hacks,https://garudahacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/001/869/thumb/logo.png?1591214464,2020-08-14,2020-08-16,DIGITAL,"Everywhere, Worldwide"
YeeHaw Hacks,https://hackp.ac/YeeHawHacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/319/thumb/yeehaw-hacks_mlh-event-title.png?1594140431,2020-08-14,2020-08-16,DIGITAL,"Everywhere, Worldwide"
Hack'20,https://hack20.dubhacks.co/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/906/thumb/PFP.png?1597242974,2020-08-15,2020-08-16,DIGITAL,"Everywhere, Worldwide"
Hack The 6ix,https://hackthe6ix.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/323/thumb/ht6_logo.jpg?1595444156,2020-08-21,2020-08-23,DIGITAL,"Everywhere, Worldwide"
MHacks,https://mhacks.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/911/thumb/gradientM.png?1597671321,2020-08-21,2020-08-23,DIGITAL,"Everywhere, Worldwide"
HackMTY,https://hackmty.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/097/thumb/HackMTY_Logo.png?1598453578,2020-08-29,2020-08-30,DIGITAL,"Everywhere, Online"
